,Ecole,  Durée d'habilitation CTI ,  Moyenne au bac des intégrés ,  Nombre d'élèves par enseignant ,  Part d'enseignants-chercheurs ,  Pourcentage de diplômés poursuivant en thèse ,  Nombre de doctorants (y compris cotutelles) ,  Nombre d'enseignants HDR ,  Part d'élèves en alternance ,  Nombre total d'alternants ,  Durée des stages en entreprise* ,  Politique de chaires industrielles ,  Forums entreprises (+ de 250 salariés) ,  Forums entreprises (réseau PME) ,  Nombre d'anciens sur LinkedIn ,  Pourcentage d'étudiants étrangers ,  Niveau d'anglais exigé ,  Deuxième langue étrangère ,  Durée minimale à l'étranger (hors apprentissage) ,  Durée minimale à l'étranger pour les apprentis ,  Diplômés ayant passé plus d'un semestre à l'étranger en échange académique ,  Diplômés ayant passé plus d'un semestre à l'étranger en stage ,  Élèves par accord de double diplôme international ,  Pourcentage de double diplômés internationaux ,  Réputation internationale ,  Salaire à la sortie ,  Diplômés en poste à l'étranger ,"  Industrie automobile, aéronautique, navale et ferroviaire ","  BTP, construction ",  Énergie ,"  Institutions financières, banque, assurance ",  Industrie des technologies de l'information ,  Technologie de l'information (services) ,  Industrie chimique ou pharmaceutique ,  Industrie agroalimentaire ,"  Agriculture, sylviculture, pêche ",  Transports ,"  Fonction publique, enseignement, recherche ","  Sociétés de conseil, bureaux d’études ",  Autres secteurs industriels ,  Autres secteurs non industriels ,  Cycle prépa intégrée - Nombre d'intégrés à bac ,  Cycle ingénieur - Nombre d'intégrés issus de prépa intégrée ou d'une prépa commune sans distinction géographique ,  Cycle ingénieur - Nombre d'intégrés issus de CPGE ,  Cycle ingénieur - Nombre d'intégrés issus d'admissions parallèles ,  Part d'intégrés via les admissions parallèles ,  Nombre d'intégrés issus de BTS et ATS ,  Moyenne au bac des intégrés issus de BTS et ATS ,  Nombre d'intégrés issus de DUT ,  Moyenne au bac des intégrés issus de DUT ,  Nombre d'intégrés issus de l'université ,  Moyenne au bac des intégrés issus de l'université ,  Proportion de bacheliers S ,  Proportion de bacheliers STI2D ,  Proportion autres bacheliers ,  Nombre de bacheliers ES ,  Nombre de bacheliers L ,  Nombre de bacheliers STL ,  Nombre de bacheliers STAV ,  Nombre d'intégrés issus d'autres bacs ,  Ouverture à de nouveaux publics ,  Frais de scolarité par an ,  Boursiers nationaux ,  Présence sur Parcoursup ,  Part d'étudiantes ,  Villes d'implantation de l'école ,  Élèves rémunérés pendant leurs études ,  Statut de l'école ,  Ministère de tutelle ,  Spécialités proposées ,  Taille des promos en cycle ingénieur ,  Budget BDE et associations par élève ,  Nombre de disciplines sportives 
0,  ESIR - Rennes ,Maximale,"15,01","9,24","83,80%","9,68%",69,22,"13,80%",42,28 semaines,Non concerné,56,28,732,"8,07%",TOEIC : 785; CLES : 2,Optionnel,2 mois,,"1,89%","3,77%","2,5","4,72%",Shanghai : 501-600 (Univ )|QS : 801-1000 (Univ )|THE : 601-800 (Univ )|Webometrics : 13 (Univ )|Classement Shanghai Thématique,32500-36500 €,"10,98%","8,16%","3,06%","1,02%","0,00%","13,26%","44,90%","4,08%","0,00%","0,00%","0,00%","2,04%","1,02%","5,10%","17,35%",65,53,20,46,"39,00%",6,"12,8",21,14,19,"14,4",94%,"5,00%",1%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,601,"22,20%",Oui,"23,57%",Rennes ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie des systèmes d'information ; matériaux, métallurgie et ingénierie des polymères",114,16,60
0,  EIVP - Paris ,Maximale,"16,44","23,25","81,30%","3,70%",5,3,"0,00%",0,47 semaines,Moyenne,115,87,2017,"13,67%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,3 mois,,"14,29%","6,25%","1,2","2,68%",Shanghai : 701-800 (Univ )|Webometrics : 120 (Univ )|Classement Shanghai Thématique,32500-36500 €,"5,80%","0,00%","46,75%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","6,49%","18,18%","22,08%","1,30%","5,20%",12,Pas de prépa intégrée,93,10,"10,00%",3,"15,7",0,NC,3,"16,5",91%,"5,00%",3%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,4,Moyenne,1930,"26,40%",Oui,"46,58%",Paris ,1348,Public,Ville de Paris,Ingénierie architecturale ; génie civil,124,199,10
0,  ENSAIT - Roubaix ,Maximale,"14,9","11,61","90,30%","2,00%",42,18,"26,80%",86,38 semaines,Non concerné,29,3,3153,"10,83%",TOEIC : 830 ; TOEFL : 100 ; IELTS : 8,Obligatoire et conditionnant l'obtention du diplôme,6 mois,3 mois,"0,88%","26,32%","1,5","8,60%",Webometrics : 187 (Nom propre ),32500-36500 €,"3,92%","6,82%","0,00%","2,27%","0,00%","0,00%","0,00%","2,27%","0,00%","0,00%","0,00%","2,27%","15,91%","70,45%","0,00%",Pas de prépa intégrée,Pas de prépa intégrée,80,39,"33,00%",6,14,17,"13,8",4,"13,8",87%,"7,00%",6%,Pas de bac ES,1,1,1,3,Excellente,601,"46,40%",Non,"62,78%",Roubaix ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Génie textile,120,78,20
0,  ENI - Saint-Étienne ,Maximale,"14,23","11,52","53,00%","5,41%",42,14,"30,70%",216,60 semaines,Moyenne,43,23,4509,"6,67%",TOEIC : 790,Obligatoire et conditionnant l'obtention du diplôme,3 mois,3 mois,"15,81%","0,00%","2,8","12,82%",Webometrics : 53 (Univ ),32500-36500 €,"11,30%","7,34%","38,53%","0,92%","0,00%","0,00%","1,83%","0,92%","1,83%","0,00%","0,00%","0,00%","33,03%","11,01%","4,59%",116,149,18,150,"47,00%",46,"13,3",89,"13,6",10,"13,5",73%,"10,00%",18%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,62,Excellente,601,"36,00%",Oui,"20,71%",Saint Etienne,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie civil ; généraliste, génie physique et sciences de l'ingénieur ; ingénierie de la construction ; génie industriel ; génie mécanique ; ingénierie de production",253,56,62
0,  Télécom Nancy ,Maximale,"16,24","10,97","79,50%","2,15%",30,8,"15,10%",59,28 semaines,Non concerné,31,18,2059,"6,92%",TOEIC : 785,Optionnel,"2,5 mois","2,5 mois","3,00%","0,00%",2,,Shanghai : 201-300 (Univ )|QS : 801-1000 (Univ )|THE : 601-800 (Univ )|Webometrics : 7 (Univ )|Classement Shanghai Thématique,32500-36500 €,"32,91%","2,67%","0,00%","1,33%","2,67%","4,00%","56,00%","0,00%","0,00%","0,00%","2,67%","6,67%","17,33%","4,00%","2,66%",Pas de prépa intégrée,Pas de prépa intégrée,89,37,"29,37%",2,"16,5",19,"14,9",6,"16,5",94%,"5,00%",1%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,601,"33,80%",Non,"17,41%",Villers-lès-Nancy ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Ingénierie informatique ; informatique,143,168,58
0,  INP Bordeaux - ENSCBP ,Maximale,"15,48","9,2","93,80%","17,73%",85,35,"32,20%",183,45 semaines,Non concerné,16,11,1929,"4,85%",TOEIC : 785,Optionnel,,3 mois,"12,14%","14,45%",0,,Shanghai : 201-300 (Univ )|QS : 425 (Univ )|THE : 401-500 (Univ )|Webometrics : 108 (ComUE )|Classement Shanghai Thématique,32500-36500 €,"14,81%","18,99%","3,80%","3,80%","0,00%","0,00%","1,27%","11,39%","27,85%","0,00%","1,27%","2,53%","1,27%","16,47%","11,40%",Pas de prépa intégrée,58,53,140,"56,00%",12,"13,8",44,"14,2",24,"14,4",96%,"2,00%",2%,Pas de bac ES,Pas de bac L,1,Pas de bac STAV,3,Forte,601,"33,70%",Non,"61,04%",Pessac,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Bioingénierie, alimentation et ingénierie biomédicale ; généraliste, génie physique et sciences de l'ingénieur ; matériaux, métallurgie et ingénierie des polymères ; chimie, biochimie et ingénierie des biomolécules ; génie industriel ",199,43,10
0,  Polytech Clermont-Ferrand ,Maximale,"15,6","11,65","81,70%","4,00%",74,29,"13,00%",93,32 semaines,Non concerné,77,26,5436,"11,45%",TOEIC : 785,Optionnel,3 mois,2 mois,"1,92%","2,40%","2,7",,Shanghai : 501-600 (Univ )||THE : 601-800 (Univ )|Webometrics : 26 (Univ )|Classement Shanghai Thématique,32500-36500 €,"3,82%","1,39%","31,94%","4,17%","1,39%","0,00%","9,72%","4,17%","4,17%","0,00%","1,39%","0,00%","26,39%","12,50%","2,78%",143,Pas de prépa intégrée,76,229,"75,00%",25,"14,7",57,"13,8",23,"13,6",84%,"5,00%",11%,1,Pas de bac L,3,Pas de bac STAV,30,Forte,615,"40,40%",Oui,"37,27%","Clermont-Ferrand, Montluçon",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Bioingénierie, alimentation et ingénierie biomédicale ; génie civil ; ingénierie électrique et électronique ; matériaux, métallurgie, ingénierie des polymères ; génie logiciel ; génie biologique ; ingénierie de construction ; ingénierie électromécanique ; génie industriel ; ingénierie des systèmes ; ingénierie de l'énergie",276,37,10
0,  UPSSITECH ,Restreinte,"13,93","4,56","92,30%","2,50%",50,16,"3,80%",7,14 semaines,Non concerné,26,16,1311,"22,36%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,3 mois,,"0,00%","0,00%",0,,Shanghai : 201-300 (Univ )|QS : 551-560 (Univ )|THE : 401-500 (Univ )|Webometrics : 19 (Univ )|Classement Shanghai Thématique,32500-36500 €,"13,51%","22,22%","50,00%","0,00%","0,00%","8,33%","13,89%","0,00%","0,00%","2,78%","0,00%","0,00%","0,00%","0,00%","2,78%",Pas de prépa intégrée,Pas de prépa intégrée,10,75,"88,24%",2,14,33,"13,5",18,"13,5",93%,"7,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,601,"25,00%",Non,"16,46%",Toulouse,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie civil, ingénierie informatique ; génie logiciel ; ingénierie de l'environnement ; ingénierie des télécommunications",79,13,6
0,  EBI - Cergy-Pontoise ,Maximale,"15,21",19,"77,80%","7,69%",8,5,"0,60%",3,48 semaines,Bonne,50,7,3641,"5,30%",TOEIC : 820,Obligatoire et conditionnant l'obtention du diplôme,3 mois,,"23,84%","23,26%","1,4","8,72%",Non présent dans les classements internationnaux,32500-36500 €,"9,86%","0,00%","0,00%","0,00%","1,67%","0,00%","3,33%","40,00%","18,33%","0,00%","0,00%","3,34%","8,33%","18,34%","6,66%",131,130,3,37,"22,00%",10,"12,4",11,"13,5",12,"14,2",100%,"0,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Moyenne,7270,"16,00%",Oui,"79,32%",Cergy-Pontoise,0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)","Chimie, biochimie et ingénierie des biomolécules ; génie de l'environnement",171,61,13
0,  AgroSup - Dijon ,Maximale,"16,19","6,35","90,50%","5,74%",57,44,"10,60%",69,46 semaines,Correcte,55,10,4519,"1,89%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,6 mois,"1,75 mois","0,00%","4,09%",0,,THE : 601-800 (ComUE )|Webometrics : 114 (Nom propre )|Classement Shanghai Thématique,moins de 29000 €,"6,59%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,38%","26,19%","29,76%","0,00%","30,95%","0,00%","5,95%","4,76%",50,27,99,133,"51,00%",26,"14,2",48,"13,4",26,"14,8",94%,"0,00%",6%,1,Pas de bac L,13,1,Pas d'autres bacs,Forte,1765,"31,70%",Oui,"68,60%",Dijon ,1644,Public,"Ministère de l'Agriculture et de l'Alimentation et Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Agriculture, forêt et génie des biosystèmes ; bioingénierie, alimentation et ingénierie biomédicale",222,80,18
0,  ENSG - Marne-la-Vallée ,Maximale,"15,85","5,97","67,70%","9,62%",30,22,"2,30%",4,33 semaines,Correcte,75,48,1652,"5,41%",TOEIC :785,Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,3 mois,,"0,00%","13,73%",0,"7,84%",Shanghai : 701-800 (Univ )|Webometrics : 120 (Univ )|Classement Shanghai Thématique,32500-36500 €,"8,51%","0,00%","0,00%","0,00%","0,00%","6,25%","37,50%","0,00%","0,00%","0,00%","0,00%","18,75%","25,00%","12,50%","0,00%",Pas de prépa intégrée,4,43,9,"16,00%",1,15,0,NC,2,"16,5",100%,"0,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,1800,"25,20%",Non,"36,76%",Marne la Vallée,"1621,33",Public,"Ministère de l'écologie, du développement durable et de l'énergie MEDDE","Ingénierie des systèmes d'information ; géomatique, ingénieur géomètre",62,595,8
0,  ENSIL-ENSCI - Limoges ,Maximale,"15,3","7,77","84,00%","8,44%",56,48,"0,70%",4,38 semaines,Correcte,61,45,926,"10,97%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,3 mois,,"0,84%","7,95%",10,"2,51%",Webometrics : 49 (Univ ),32500-36500 €,"5,03%","16,92%","3,08%","6,67%","1,03%","11,28%","2,56%","4,61%","0,51%","0,00%","0,00%","4,11%","12,82%","31,28%","5,13%",66,47,9,186,"76,86%",7,"15,1",46,"13,7",12,"14,4",96%,"2,00%",2%,Pas de bac ES,Pas de bac L,4,Pas de bac STAV,Pas d'autres bacs,Forte,601,"46,60%",Oui,"35,76%",Limoges,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie de la céramique ; ingénierie électromécanique ; ingénierie de l'environnement ; matériaux, métallurgie et ingénierie des polymères ; ingénierie électrique et de l'électronique ; génie des matériaux ; mécatronique ; ingénierie hydraulique et de l'environnement",234,80,26
0,  ENI Tarbes - INP Toulouse ,Restreinte,"14,56","8,04","59,40%","2,27%",64,25,"18,30%",130,40 semaines,Non concerné,37,24,5440,"7,26%",TOEIC : 785 ; TOEFL : 543,Obligatoire et conditionnant l'obtention du diplôme,"4,5 mois",3 mois,"4,51%","0,41%",2,"2,46%",THE : 401-500 (ComUE )|Webometrics : 84 (Nom propre )|Classement Shanghai Thématique,32500-36500 €,"3,85%","39,08%","24,14%","3,45%","0,00%","2,30%","6,90%","1,15%","1,15%","0,00%","0,00%","0,00%","3,45%","13,80%","4,60%",153,180,17,87,"31,00%",5,"13,5",68,"13,6",5,"13,6",93%,"7,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Excellente,601,"40,10%",Oui,"14,16%","Tarbes, Toulouse",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Génie industriel ; génie mécanique,257,57,25
0,  ESIPE-MLV Marne-la-Vallée ,Maximale,"13,56","6,83","85,10%","0,00%",119,25,"75,40%",448,26 semaines,Correcte,71,45,1357,"11,62%",TOEIC : 785,Optionnel,6 mois,"4,5 mois","3,18%","1,91%",0,,Shanghai : 701-800 (Univ )|Webometrics : 120 (Univ )|Classement Shanghai Thématique,36500-40000 €,"13,04%","19,82%","14,41%","3,60%","0,00%","1,80%","22,52%","0,00%","0,90%","0,00%","3,60%","0,90%","1,80%","10,80%","19,82%",Pas de prépa intégrée,Pas de prépa intégrée,17,166,"91,00%",22,"14,4",121,"13,3",23,"13,5",67%,"25,00%",8%,3,Pas de bac L,Pas de bac STL,Pas de bac STAV,13,Excellente,610,"84,30%",Non,"24,07%",Marne la Vallée ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie civil ; ingénierie informatique ; ingénierie électrique et de l'électronique ; génie industriel ; ingénierie des systèmes d'information ; image, multimédia, audiovisuel et communication ; génie mécanique",198,37,42
0,  Polytech Orléans ,Maximale,"14,7","9,98","74,50%","3,33%",64,37,"22,20%",189,37 semaines,Non concerné,27,21,5898,"16,35%",TOEIC : 785,Optionnel,6 mois,3 mois,"1,49%","9,67%","8,3","5,51%",Shanghai : 901-1000 (Univ )|Webometrics : 44 (Univ )|Classement Shanghai Thématique,32500-36500 €,"5,88%","17,70%","31,86%","7,96%","0,88%","1,77%","3,54%","11,50%","0,88%","0,00%","0,88%","0,88%","7,96%","7,95%","6,19%",181,100,67,207,"55,00%",39,"12,9",61,"12,8",37,"13,4",86%,"13,00%",1%,Pas de bac ES,Pas de bac L,3,1,Pas d'autres bacs,Forte,601,"31,50%",Oui,"27,66%","Orléans, Chartre",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie aéronautique et spatiale ; génie civil ; ingénierie électrique et de l'électronique ; génie industriel ; matériaux, métallurgie, ingénierie des polymères ; bioingénierie, alimentation et ingénierie biomédicale ; ingénierie de construction ; ingénierie électromécanique ; ingénierie de l'environnement ; ingénierie de l'automobile et de l'énergie ; génie mécanique ",353,18,15
0,  EI.CNAM ,Maximale,"15,2","20,68","93,90%","0,00%",87,63,"56,30%",2172,40 semaines,Moyenne,0,0,0,"19,10%",TOEIC : 785 ; TOEFL : 505 ; CLES : 2,Optionnel,2 mois,1 mois,"0,19%","0,00%",0,,Webometrics : 41 (Nom propre )|Classement Shanghai Thématique,29000-32500 €,"6,33%","8,33%","15,06%","4,81%","1,60%","8,65%","0,00%","0,00%","0,00%","0,00%","2,24%","6,73%","0,00%","34,93%","17,62%",19,34,27,990,"94,00%",270,"13,2",347,"12,5",293,"11,9",86%,"12,00%",2%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,1,Excellente,601,"8,30%",Non,"16,01%","Paris, Saint-Denis, Mantes-la-Jolie, Reims, Amiens, Beauvais, Strasbourg, Evreux, Poitiers, Angoulême, Châtellerault, La Roche sur Yon, Avignon, Limoges, Nancy, Le Mans, Toulouse, Metz, Marseille, Nice, Rouen",0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie aéronautique et spatiale ; génie civil ; ingénierie informatique ; ingénierie de construction ; ingénierie électrique et de l'électronique ; généraliste, génie physique et sciences de l'ingénieur ; génie industriel ; matériaux, métallurgie et ingénierie des polymères ; ingénierie nucléaire et radiologique ; ingénieur géomètre",1592,20,15
0,  EsiTech ,Restreinte,"14,86","7,94","88,90%","8,11%",32,8,"3,60%",5,26 semaines,Non concerné,62,0,277,"4,52%",TOEIC : 785 ; CLES : 2 ; BULATS : 60,Obligatoire et conditionnant l'obtention du diplôme,2 mois,,"0,00%","4,88%",0,,THE : 801-1000 (ComUE )|Webometrics : 31 (Univ )|Classement Shanghai Thématique,32500-36500 €,"7,69%","23,08%","3,85%","7,69%","0,00%","0,00%","0,00%","38,46%","7,69%","0,00%","0,00%","11,54%","3,85%","3,85%","0,00%",12,15,7,37,"63,00%",4,13,18,"13,8",15,"15,1",97%,"2,00%",2%,Pas de bac ES,Pas de bac L,1,Pas de bac STAV,Pas d'autres bacs,Forte,601,"37,90%",Oui,"48,02%",Saint-Étienne-du-Rouvray,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie biologique ; généraliste, génie physique et sciences de l'ingénieur",48,17,NC
0,  ESITC - Caen ,Maximale,"14,55","10,08","55,00%","0,00%",7,10,"24,00%",88,45 semaines,Moyenne,94,55,1906,"7,00%",TOEIC : 800,Optionnel,3 mois,3 mois,"0,93%","5,61%",2,"4,55%",THE : 801-1000 (Comue)| Webometrics : 24 (Comue),32500-36500 €,"14,04%","0,00%","100,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",120,85,11,44,"31,00%",14,"14,3",26,"14,4",4,"15,3",84%,"13,00%",3%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,5,Forte,6900,"30,10%",Oui,"26,22%",Épron,0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)",Ingénierie de construction,134,11,16
0,  ESCOM - Compiègne ,Maximale,"14,88","15,19","46,20%","7,69%",5,9,"18,40%",70,50 semaines,Correcte,87,22,4285,"3,19%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,2 mois,2 mois,"6,15%","26,15%","1,5","7,69%",Webometrics : 40 (Univ ),32500-36500 €,"8,96%","2,27%","2,27%","2,27%","0,00%","0,00%","0,00%","61,37%","6,82%","2,27%","0,00%","2,27%","0,00%","13,64%","6,82%",110,98,4,46,"31,00%",6,13,19,"14,7",6,"14,7",95%,"0,00%",5%,Pas de bac ES,Pas de bac L,8,Pas de bac STAV,Pas d'autres bacs,Forte,6450,"22,10%",Oui,"70,25%",Compiègne,0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)","Chimie, biochimie et ingénierie des biomolécules",132,25,3
0,  Sup Galilée - Villetaneuse ,Maximale,"14,29","4,82","91,80%","4,62%",70,47,"37,20%",103,14 semaines,Non concerné,14,8,2094,"42,76%",TOEIC : 785,Optionnel,"1,5 mois",,"0,79%","0,79%",1,,Webometrics : 21 (Univ ),36500-40000 €,"1,75%","3,13%","10,94%","6,25%","6,25%","18,75%","29,69%","0,00%","0,00%","0,00%","0,00%","3,12%","21,88%","0,00%","0,00%",48,32,23,117,"68,00%",6,"12,8",22,13,36,"13,8",55%,"2,00%",43%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,81,Excellente,601,"56,30%",Oui,"24,55%",Villetaneuse ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Généraliste, génie physique et sciences de l'ingénieur ; génie logiciel ; bioingénierie, alimentation et ingénierie biomédicale ; ingénierie informatique ; ingénierie des systèmes d'information ; mathématiques et ingénierie (ABET) ; puissance et énergie",177,8,20
0,  ENSGSI - INP Lorraine ,Maximale,"15,98","10,5","91,70%","0,00%",17,12,"0,00%",0,24 semaines,Non concerné,0,0,6773,"8,83%",TOEIC : 785,Optionnel,"4,5 mois",,"0,00%","11,11%",6,"11,11%",Shanghai : 201-300 (Univ )|QS : 801-1000 (Univ )|THE : 601-800 (Univ )|Webometrics : 7 (Univ )|Classement Shanghai Thématique,32500-36500 €,"12,12%","28,13%","3,13%","6,25%","3,13%","9,38%","3,13%","9,38%","3,13%","0,00%","6,25%","0,00%","18,75%","0,00%","9,39%",39,26,24,8,"14,00%",0,NC,2,18,1,18,98%,"2,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,601,"44,30%",Oui,"46,37%",Nancy,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Génie industriel ; ingénieur manager,84,16,87
0,  EIDD - Paris ,Maximale,"14,73","6,83","89,70%","12,50%",34,21,"0,00%",0,36 semaines,Non concerné,0,0,0,"25,76%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,,,"2,44%","0,00%",0,"2,44%",Shanghai : 65 (Univ )|QS : 275 (Univ )|THE : 136 (Univ )|Webometrics : 8 (Univ )|Classement Shanghai Thématique,32500-36500 €,"3,13%","12,50%","0,00%","3,13%","15,63%","3,13%","9,38%","3,13%","0,00%","0,00%","6,25%","3,13%","15,63%","21,88%","6,25%",Pas de prépa intégrée,Pas de prépa intégrée,65,19,"22,61%",17,NC,0,NC,2,NC,NC,NC,NC,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,630,"45,60%",Non,"29,29%",Paris ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie de la céramique ; matériaux, métallurgie et ingénierie des polymères ; génie logiciel ; ingénierie biologique ; matériaux, métallurgie et ingénierie des polymères ; génie logiciel ; ingénierie des systèmes",66,15,10
0,  ECAM-EPMI - Cergy-Pontoise ,Maximale,"13,33","12,36","56,00%","0,00%",38,5,"28,70%",136,53 semaines,Correcte,38,3,2516,"21,46%",TOEIC : 800,Optionnel,6 mois,3 mois,"9,49%","0,00%","2,3","7,56%",Non présent dans les classements internationnaux,36500-40000 €,"20,90%","4,48%","16,42%","26,87%","4,48%","9,70%","8,21%","0,00%","0,00%","0,00%","8,21%","0,00%","16,42%","5,23%","0,00%",142,101,54,75,"32,61%",23,NC,0,NC,21,NC,73%,"24,00%",2%,4,Pas de bac L,1,Pas de bac STAV,Pas d'autres bacs,Forte,7200,"35,00%",Oui,"16,71%",Cergy Pontoise,0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)","Ingénieur manager ; ingénierie électromécanique ; ingénierie du chauffage, de la ventilation et de la climatisation",206,402,10
0,  ENGEES - Strasbourg ,Maximale,"16,2","9,39","50,00%","4,17%",24,10,"25,50%",80,41 semaines,Correcte,118,43,2831,"7,10%",TOEIC : 785,Obligatoire pour les élèves ingénieurs et validé par une certification externe,3 mois,1 mois,"1,90%","16,19%","2,5","3,49%",Shanghai : 101-150 (Univ )|QS : 398 (Univ )|THE : 501-600 (Univ )|Webometrics : 2 (Univ ),moins de 29000 €,"6,17%","0,00%","9,59%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,74%","30,14%","39,73%","16,44%","1,37%",Pas de prépa intégrée,Pas de prépa intégrée,86,27,"24,00%",6,12,8,16,13,"15,3",98%,"0,00%",2%,Pas de bac ES,Pas de bac L,2,Pas de bac STAV,Pas d'autres bacs,Forte,1765,"31,80%",Non,"47,04%",Strasbourg ,1681,Public,Ministère de l'Agriculture et de l'Alimentation,Génie civil ; ingénierie de l'environnement,113,35,60
0,  ENSSAT - Lannion ,Maximale,"15,33","9,63","74,80%","15,00%",46,24,"20,10%",72,40 semaines,Non concerné,15,17,2024,"6,99%",TOEIC : 800,Optionnel,2 mois,"0,5 mois","8,49%","4,72%",2,"2,56%",Shanghai : 501-600 (Univ )|QS : 801-1000 (Univ )|THE : 601-800 (Univ )|Webometrics : 13 (Univ )|Classement Shanghai Thématique,32500-36500 €,"5,00%","2,00%","2,00%","0,00%","0,00%","16,00%","46,00%","0,00%","0,00%","2,00%","0,00%","4,00%","4,00%","10,00%","14,00%",Pas de prépa intégrée,Pas de prépa intégrée,61,41,"40,00%",5,11,31,"14,3",3,"16,3",94%,"6,00%",0%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,Pas d'autres bacs,Forte,601,"32,50%",Non,"16,84%",Lannion ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Ingénierie électrique et de l'électronique ; ingénierie optique et photonique ; génie logiciel ; ingénierie informatique ; ingénierie des télécommunications,129,50,30
