,Ecole,  Durée d'habilitation CTI ,  Moyenne au bac des intégrés ,  Nombre d'élèves par enseignant ,  Part d'enseignants-chercheurs ,  Pourcentage de diplômés poursuivant en thèse ,  Nombre de doctorants (y compris cotutelles) ,  Nombre d'enseignants HDR ,  Part d'élèves en alternance ,  Nombre total d'alternants ,  Durée des stages en entreprise* ,  Politique de chaires industrielles ,  Forums entreprises (+ de 250 salariés) ,  Forums entreprises (réseau PME) ,  Nombre d'anciens sur LinkedIn ,  Pourcentage d'étudiants étrangers ,  Niveau d'anglais exigé ,  Deuxième langue étrangère ,  Durée minimale à l'étranger (hors apprentissage) ,  Durée minimale à l'étranger pour les apprentis ,  Diplômés ayant passé plus d'un semestre à l'étranger en échange académique ,  Diplômés ayant passé plus d'un semestre à l'étranger en stage ,  Élèves par accord de double diplôme international ,  Pourcentage de double diplômés internationaux ,  Réputation internationale ,  Salaire à la sortie ,  Diplômés en poste à l'étranger ,"  Industrie automobile, aéronautique, navale et ferroviaire ","  BTP, construction ",  Énergie ,"  Institutions financières, banque, assurance ",  Industrie des technologies de l'information ,  Technologie de l'information (services) ,  Industrie chimique ou pharmaceutique ,  Industrie agroalimentaire ,"  Agriculture, sylviculture, pêche ",  Transports ,"  Fonction publique, enseignement, recherche ","  Sociétés de conseil, bureaux d’études ",  Autres secteurs industriels ,  Autres secteurs non industriels ,  Cycle prépa intégrée - Nombre d'intégrés à bac ,  Cycle ingénieur - Nombre d'intégrés issus de prépa intégrée ou d'une prépa commune sans distinction géographique ,  Cycle ingénieur - Nombre d'intégrés issus de CPGE ,  Cycle ingénieur - Nombre d'intégrés issus d'admissions parallèles ,  Part d'intégrés via les admissions parallèles ,  Nombre d'intégrés issus de BTS et ATS ,  Moyenne au bac des intégrés issus de BTS et ATS ,  Nombre d'intégrés issus de DUT ,  Moyenne au bac des intégrés issus de DUT ,  Nombre d'intégrés issus de l'université ,  Moyenne au bac des intégrés issus de l'université ,  Proportion de bacheliers S ,  Proportion de bacheliers STI2D ,  Proportion autres bacheliers ,  Nombre de bacheliers ES ,  Nombre de bacheliers L ,  Nombre de bacheliers STL ,  Nombre de bacheliers STAV ,  Nombre d'intégrés issus d'autres bacs ,  Ouverture à de nouveaux publics ,  Frais de scolarité par an ,  Boursiers nationaux ,  Présence sur Parcoursup ,  Part d'étudiantes ,  Villes d'implantation de l'école ,  Élèves rémunérés pendant leurs études ,  Statut de l'école ,  Ministère de tutelle ,  Spécialités proposées ,  Taille des promos en cycle ingénieur ,  Budget BDE et associations par élève ,  Nombre de disciplines sportives 
0,  ENSICAEN ,Maximale,"15,04","8,76","62,80%","8,81%",136,42,"24,20%",159,39 semaines,Correcte,57,33,5150,"12,75%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,4 mois,3 mois,"0,00%","5,39%",2,"2,53%",THE : 801-1000 (ComUE )|Webometrics : 99 (Nom propre ),32500-36500 €,"4,48%","15,38%","0,00%","7,69%","7,69%","5,77%","7,69%","3,84%","1,92%","0,00%","1,92%","0,00%","3,85%","24,99%","19,22%",Pas de prépa intégrée,10,128,110,"44,00%",7,"14,4",70,"14,9",25,"14,6",93%,"5,00%",2%,Pas de bac ES,Pas de bac L,3,Pas de bac STAV,1,Excellente,601,"48,20%",Non,"21,91%",Caen ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Matériaux, métallurgie, ingénierie des polymères ; ingénierie de l'électronique et informatique ; ingénierie nucléaire et photonique ; science des matériaux et ingénierie chimique ; génie mécanique et des matériaux",251,60,73
0,  INSA Hauts-de-France ,Maximale,"15,86","10,24","76,30%","4,11%",80,30,"33,20%",210,38 semaines,Non concerné,19,4,4488,"23,27%",TOEIC : 820,Obligatoire et conditionnant l'obtention du diplôme,5 mois,3 mois,"0,50%","8,04%","1,7","3,82%",Webometrics : 77 (Univ )|Classement Shanghai Thématique,32500-36500 €,"22,88%","34,29%","0,95%","7,62%","0,95%","4,76%","10,48%","1,90%","3,81%","0,00%","1,90%","0,95%","12,38%","10,46%","9,52%",187,50,135,108,"37,00%",14,"12,1",57,"13,2",30,"13,9",94%,"5,00%",1%,Pas de bac ES,Pas de bac L,2,Pas de bac STAV,1,Excellente,601,"46,60%",Oui,"19,00%",Valenciennes ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie électromécanique ; ingénieur manager ; génie industriel ; ingénierie des systèmes d'information ; ingénierie électrique et de l'électronique ; généraliste, génie physique et sciences de l'ingénieur ; ingénierie des systèmes ; génie mécanique",273,61,30
0,  HEI - Lille ,Maximale,"13,7","18,18","64,80%","0,31%",86,10,"18,50%",279,48 semaines,Moyenne,99,29,11389,"8,89%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,4 mois,4 mois,"2,81%","19,32%","1,9","3,65%",Non présent dans les classements internationnaux,32500-36500 €,"6,45%","3,23%","21,51%","4,66%","2,87%","1,44%","10,04%","2,52%","2,15%","0,00%","0,72%","1,44%","32,97%","10,40%","6,09%",51,404,530,101,"10,00%",22,"13,9",50,"13,6",12,14,81%,"10,00%",10%,2,Pas de bac L,6,Pas de bac STAV,19,Forte,7950,"19,50%",Oui,"27,57%","Lille, Châteauroux",0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)","Généraliste, génie physique et sciences de l'ingénieur",551,88,38
0,  Supméca - Saint-Ouen ,Maximale,"15,27","11,96","75,50%","5,31%",36,12,"24,90%",130,48 semaines,Correcte,51,27,4206,"10,75%",TOEIC : 800,Obligatoire et conditionnant l'obtention du diplôme,4 mois,1 mois,"0,00%","4,60%","2,6","9,38%",Non présent dans les classements internationnaux,32500-36500 €,"6,45%","54,95%","2,20%","9,89%","0,00%","4,40%","0,00%","2,20%","2,20%","0,00%","0,00%","1,10%","0,00%","23,08%","0,00%",Pas de prépa intégrée,Pas de prépa intégrée,135,44,"25,00%",20,"12,8",18,"12,7",6,"14,4",90%,"8,00%",2%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,3,Excellente,601,"38,20%",Non,"19,28%",Saint-Ouen,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Génie mécanique ; génie mécanique/génie industriel,195,88,12
0,  Polytech Montpellier ,Maximale,"14,38","6,13","88,00%","6,53%",127,66,"24,30%",211,28 semaines,Non concerné,46,35,7494,"6,13%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,2 mois,2 mois,"0,00%","5,03%",3,"3,97%",Shanghai : 151-200 (Univ )|QS : 511-520 (Univ )|THE : 301-350 (Univ )|Webometrics : 10 (Univ )|Classement Shanghai Thématique,29000-32500 €,"8,90%","8,21%","5,64%","4,62%","2,57%","4,10%","9,23%","5,12%","9,23%","1,54%","0,51%","3,59%","15,38%","20,50%","9,74%",192,131,46,271,"60,00%",12,"12,9",95,"13,9",20,"14,7",84%,"12,00%",4%,1,Pas de bac L,Pas de bac STL,Pas de bac STAV,7,Excellente,601,"43,00%",Oui,"35,69%",Montpellier,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Bioingénierie, alimentation et ingénierie biomédicale ; ingénierie informatique ; ingénierie de construction ; ingénierie électrique et électronique ; matériaux, métallurgie, ingénierie des polymères ; ingénierie biologique ; génie de la céramique ; génie civil ; génie industriel ; ingénierie des systèmes ; ingénierie hydraulique",306,28,45
0,  IPSA - Ivry-sur-Seine ,Restreinte,"14,61","10,92","30,00%","2,41%",9,1,"0,00%",0,48 semaines,Très bonne,74,26,4326,"9,92%",TOEIC : 800,Optionnel,4 mois,,"7,77%","9,46%","2,3","4,73%",Non présent dans les classements internationnaux,plus de 40000 €,"46,99%","72,38%","0,55%","1,10%","0,00%","10,50%","6,63%","0,00%","0,00%","0,00%","8,29%","0,55%","0,00%","0,00%","0,00%",414,355,80,8,"2,00%",1,13,1,13,4,"16,3",98%,"1,00%",1%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,4,Moyenne,9030,"16,50%",Oui,"18,42%","Ivry-sur-Seine, Toulouse, Lyon",0,Privé,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Ingénierie aéronautique et spatiale ; ingénierie des systèmes,364,85,9
0,  ISEN Lille ,Maximale,"14,41","8,95","77,20%","2,04%",86,14,"21,20%",97,43 semaines,Correcte,101,29,6428,"8,94%",First Certificate of Cambridge : Grade C,Optionnel,6 mois,3 mois,"5,77%","17,31%",5,"5,26%",Webometrics : 138 (Nom propre ),32500-36500 €,"7,50%","12,50%","0,00%","0,00%","4,17%","8,34%","25,00%","0,00%","4,17%","0,00%","0,00%","4,17%","4,17%","8,34%","29,17%",122,79,96,49,"22,00%",12,"13,3",22,"13,3",0,NC,92%,"3,00%",5%,Pas de bac ES,Pas de bac L,Pas de bac STL,Pas de bac STAV,14,Forte,7750,"21,40%",Oui,"12,85%",Lille,0,Privé,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Ingénierie informatique ; Ingénierie électrique et de l'électronique,170,55,12
0,  ENSISA - Mulhouse ,Maximale,"14,5","9,19","88,10%","3,91%",0,23,"11,50%",51,30 semaines,Non concerné,129,69,2819,"17,12%",TOEIC : 785,Optionnel,1 mois,1 mois,"0,00%","0,00%","3,3","17,24%",Webometrics : 46 (Univ ),32500-36500 €,"7,77%","19,35%","0,00%","3,23%","1,08%","0,00%","29,03%","7,53%","1,08%","0,00%","1,08%","0,00%","0,00%","24,73%","12,91%",26,16,83,77,"44,00%",11,NC,34,NC,6,NC,88%,"9,00%",3%,Pas de bac ES,Pas de bac L,2,Pas de bac STAV,4,Forte,601,"47,40%",Oui,"24,14%",Mulhouse ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie informatique ; ingénierie électrique et de l'électronique ; génie industriel ; généraliste, génie physique et sciences de l'ingénieur ; ingénierie des systèmes d'information ; génie mécanique ; génie textile",181,21,36
0,  ENSGTI - Pau ,Maximale,"15,15","9,78","95,70%","8,89%",19,14,"6,00%",10,18 semaines,Non concerné,22,9,884,"25,78%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,,,"0,00%","0,00%","1,5","5,36%",Webometrics : 54 (Univ ),32500-36500 €,"16,22%","0,00%","3,33%","20,00%","0,00%","0,00%","3,33%","20,00%","13,33%","0,00%","0,00%","0,00%","10,00%","29,99%","0,00%",Pas de prépa intégrée,5,39,30,"41,00%",5,14,11,"13,4",1,18,89%,"0,00%",11%,Pas de bac ES,Pas de bac L,6,Pas de bac STAV,Pas d'autres bacs,Forte,610,"39,50%",Oui,"32,44%",Pau,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Chimie, biochimie et ingénierie des biomolécules ; génie industriel ; génie mécanique",75,28,16
0,  ENI - Metz ,Maximale,"14,31","8,21","48,80%","2,04%",37,17,"19,70%",115,56 semaines,Non concerné,38,6,8727,"14,57%",TOEIC : 785 ; Bulats : 60,Obligatoire et conditionnant l'obtention du diplôme,6 mois,2 mois,"8,45%","18,78%","3,6","22,34%",Shanghai : 201-300 (Univ )|QS : 801-1000 (Univ )|THE : 601-800 (Univ )|Webometrics : 148 (Nom propre )|Classement Shanghai Thématique,32500-36500 €,"15,04%","23,08%","7,69%","6,16%","0,00%","0,00%","0,00%","7,70%","0,00%","0,00%","7,69%","6,16%","0,00%","29,24%","12,31%",126,131,25,85,"35,00%",31,"12,8",47,13,2,14,84%,"13,00%",3%,Pas de bac ES,Pas de bac L,1,Pas de bac STAV,5,Excellente,601,"37,40%",Oui,"13,97%",Metz,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Génie industriel ; généraliste, génie physique et sciences de l'ingénieur",235,60,34
0,  ESTIA - Bidart ,Maximale,"13,55","12,03","60,30%","0,61%",23,25,"38,60%",265,46 semaines,Moyenne,61,64,4042,"8,67%",TOEIC : 800 ; IELTS : 6.5,Obligatoire pour les élèves ingénieurs et validé par une certification externe,6 mois,3 mois,"28,21%","15,81%",21,"95,35%",Non présent dans les classements internationnaux,32500-36500 €,"9,60%","40,16%","1,64%","3,28%","0,00%","24,59%","0,00%","2,46%","4,10%","0,00%","0,82%","1,64%","0,00%","5,74%","15,58%",Pas de prépa intégrée,2,112,148,"56,00%",45,"13,1",81,"12,9",6,"13,5",62%,"32,00%",7%,1,3,2,1,10,Excellente,6600,"44,30%",Non,"15,34%",Bidart ,0,Consulaire,Ministère de l’Économie et des Finances,"Généraliste, génie physique et sciences de l'ingénieur",253,31,12
0,  Polytech Tours ,Maximale,"14,82","11,14","90,90%","2,42%",93,30,"11,80%",108,30 semaines,Non concerné,50,17,4832,"13,56%",TOEIC : 785,Obligatoire et conditionnant l'obtention du diplôme,3 mois,3 mois,"1,52%","11,74%",17,"13,77%",Shanghai : 901-1000 (Univ )|THE : 801-1000 (Univ )|Webometrics : 16 (Univ )|Classement Shanghai Thématique,32500-36500 €,"6,76%","10,93%","4,37%","4,38%","1,64%","1,10%","24,59%","1,64%","0,55%","0,55%","4,92%","2,73%","25,14%","9,30%","8,20%",128,113,48,244,"60,00%",21,"13,2",69,"13,7",26,"14,1",79%,"12,00%",10%,1,Pas de bac L,1,1,26,Forte,601,"36,30%",Oui,"24,70%",Tours ,0,Public,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","Ingénierie informatique ; ingénierie électrique et de l'électronique ; ingénierie de l'environnement ; génie industriel ; génie logiciel ; ingénierie des systèmes d'information ; matériaux, métallurgie, ingénierie des polymères ; ingénierie des systèmes : systèmes embarqués ; ingénierie de l'aménagement urbain et régional ",327,18,66
0,  ESIEA - Paris - Laval ,Maximale,"13,23","15,94","54,90%","5,36%",4,5,"37,20%",364,50 semaines,Non concerné,73,54,9192,"12,24%",TOEIC : 800,Obligatoire pour les élèves ingénieurs et conditionnant l’obtention du diplôme,3 mois,1 mois,"13,48%","4,49%","2,3","6,84%",Non présent dans les classements internationnaux,plus de 40000 €,"16,07%","10,34%","0,00%","1,72%","13,79%","17,24%","22,41%","0,00%","1,72%","0,00%","1,72%","1,72%","12,07%","1,72%","15,51%",317,136,16,139,"48,00%",27,13,63,"13,4",44,"13,5",79%,"17,00%",4%,11,Pas de bac L,3,Pas de bac STAV,3,Forte,8300,"25,20%",Oui,"14,80%","Ivry-sur-Seine, Laval, Paris",0,Privé,"Label EESPIG (Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation)","Généraliste, génie physique et sciences de l'ingénieur ; ingénierie informatique",377,41,5
